0,1
,4360
Subject:,4360
.,4322
",",4142
to,4056
the,3999
:,3638
and,3568
-,3533
for,3480
you,3476
a,3413
of,3325
i,3258
on,3229
in,3214
is,3059
/,2958
have,2799
vince,2790
this,2671
with,2662
be,2647
),2576
enron,2575
@,2572
(,2538
that,2470
please,2459
will,2458
we,2377
at,2363
',2355
your,2351
if,2333
subject,2273
from,2261
are,2258
cc,2173
it,2172
am,2145
me,2144
by,2073
as,2060
re,2029
s,1980
kaminski,1964
would,1923
can,1817
thanks,1783
2000,1734
or,1687
pm,1675
?,1629
j,1612
ect,1597
not,1567
an,1551
know,1531
com,1506
hou,1501
our,1491
any,1470
my,1454
"""",1441
time,1345
let,1283
like,1260
about,1219
do,1218
all,1205
10,1168
research,1168
has,1167
group,1164
forwarded,1136
2,1132
1,1108
also,1107
so,1084
2001,1076
some,1070
may,1062
3,1040
but,1015
was,1007
there,994
one,981
very,977
!,974
get,967
need,965
up,959
11,958
regards,950
forward,921
what,918
information,909
us,901
houston,894
01,891
he,886
more,882
been,881
e,869
work,861
which,848
should,847
call,837
new,832
12,831
message,823
other,818
thank,813
see,812
meeting,807
4,803
could,799
look,785
out,782
week,779
contact,779
mail,778
00,769
corp,764
here,761
email,755
30,749
04,748
t,747
shirley,738
they,722
attached,716
who,716
best,715
make,710
5,708
02,707
sent,706
well,704
help,699
energy,698
these,698
03,698
questions,697
management,694
next,686
when,685
his,683
risk,676
good,676
09,673
m,672
following,665
&,665
08,660
just,652
think,650
business,649
th,646
fax,643
dear,639
713,638
hi,635
05,631
send,628
last,624
no,623
their,611
how,608
15,597
day,592
phone,586
take,583
university,580
http,579
hope,578
edu,576
available,574
two,573
office,567
only,563
shall,562
give,560
working,560
stinson,560
had,557
them,553
year,547
much,547
him,545
back,540
number,540
use,539
now,536
crenshaw,535
friday,535
20,534
want,521
06,521
d,519
_,511
regarding,510
power,507
8,501
find,500
;,499
07,494
through,494
below,494
date,494
first,493
market,490
again,489
p,487
6,486
conference,486
over,485
www,484
>,481
few,473
model,462
after,460
into,458
than,457
interested,456
many,453
doc,447
great,447
morning,447
schedule,447
company,446
team,446
trading,444
free,442
then,438
today,437
go,437
monday,436
16,435
talk,433
original,432
were,431
finance,430
people,427
before,426
both,425
discuss,423
able,423
possible,422
review,421
price,419
project,419
19,417
john,415
17,415
program,414
9,412
gibner,411
process,409
provide,407
interview,406
london,404
soon,401
name,400
list,399
request,399
14,397
thursday,395
ll,394
7,393
way,391
data,389
set,386
presentation,385
most,384
development,382
18,380
however,380
meet,380
school,378
department,377
interest,377
$,377
where,376
received,375
support,375
going,375
853,373
still,373
feel,370
don,370
address,369
28,366
x,366
director,365
looking,363
25,363
might,363
23,363
visit,362
during,361
27,361
april,360
financial,357
13,354
opportunity,354
resume,354
such,353
between,353
21,351
29,350
copy,350
c,347
each,347
sure,346
access,345
markets,344
system,343
based,341
days,341
since,340
22,339
end,337
come,336
wednesday,335
services,333
currently,332
given,329
its,329
part,328
gas,327
26,327
did,327
24,326
appreciate,324
options,323
because,320
sincerely,319
31,318
already,317
together,316
years,316
within,313
using,312
another,312
position,312
ask,311
note,310
further,309
issues,308
person,307
current,307
analysis,302
additional,301
case,301
web,300
order,300
tuesday,300
long,300
*,298
details,297
does,295
same,295
etc,294
+,290
vkamins,290
problem,290
home,289
happy,289
under,289
made,288
mr,288
],287
option,286
kevin,286
future,283
mike,280
comments,279
weeks,276
[,276
right,276
pricing,275
include,274
tx,273
44,273
several,271
put,269
credit,269
being,269
really,267
value,267
b,266
while,265
derivatives,265
file,265
plan,265
jeff,265
hello,264
mark,264
manager,264
place,262
vasant,262
asked,261
managing,259
0,259
those,258
different,257
she,257
sorry,257
na,255
summer,255
attend,254
her,254
try,254
better,254
either,252
steve,252
zimin,252
changes,252
used,251
david,250
due,249
industry,249
important,249
including,248
co,248
offer,248
grant,248
off,248
prices,247
respond,247
full,247
cost,246
march,245
room,243
dr,242
start,241
issue,239
course,239
believe,238
related,238
g,236
book,236
ve,234
north,234
tomorrow,234
wanted,234
until,234
above,231
follow,231
experience,230
form,230
update,230
term,230
real,229
too,229
afternoon,229
area,229
getting,228
done,228
version,228
fyi,227
professor,227
things,227
lon,227
check,226
technical,226
tanya,226
around,223
december,223
probably,223
site,222
short,221
needs,220
type,220
wrote,220
bring,218
join,218
students,218
july,218
45,218
40,218
texas,217
understand,217
mentioned,216
lunch,216
president,215
scheduled,215
weather,214
associate,214
keep,214
paper,212
change,212
50,212
receive,210
open,209
lot,209
glad,208
having,208
point,208
discussion,208
once,205
whether,205
hearing,205
america,205
smith,205
requested,205
dinner,204
job,204
doing,204
roberts,203
level,202
products,202
january,202
internet,202
results,201
per,199
tel,199
members,199
street,199
later,199
months,199
models,198
move,198
discussed,198
specific,197
taking,197
month,196
rice,196
info,196
down,195
projects,195
resources,194
june,193
graduate,192
corporate,192
early,192
february,192
coming,192
via,192
three,191
got,191
center,191
everyone,190
response,190
assistant,190
shanbhogue,190
desk,189
r,189
continue,189
yesterday,189
dates,189
yet,188
communications,188
return,188
martin,187
sending,187
along,187
engineering,187
global,187
opportunities,187
line,187
michael,186
anything,186
companies,186
run,186
report,186
else,185
lu,185
making,184
something,184
invite,184
complete,184
technology,183
deal,183
5290,183
high,181
times,180
%,180
o,180
event,180
kind,179
systems,179
var,179
location,178
decision,177
seems,177
modeling,176
contract,176
even,176
electricity,175
key,175
uk,175
immediately,175
talking,174
valuation,174
l,174
reply,173
software,173
directly,171
mailto,171
problems,171
vice,170
present,170
read,170
said,169
suggested,169
trip,169
service,169
approval,169
w,169
earlier,168
role,168
application,168
telephone,168
speak,168
addition,167
far,166
told,165
must,165
trying,165
question,164
page,163
final,163
recent,163
effort,163
october,162
general,162
held,162
second,161
without,161
world,160
analyst,160
#,160
someone,160
capital,160
feedback,159
47,159
richard,159
idea,158
32,158
student,158
ok,158
000,157
november,157
confidential,157
u,157
candidate,157
33,156
status,156
basis,156
product,156
52,156
allow,155
numbers,155
positions,155
speaker,154
participation,154
enronxgate,154
upon,154
operations,153
interesting,153
involved,153
participate,153
period,153
completed,152
,152
rate,152
ees,152
vincent,152
55,152
box,151
own,151
approach,151
35,151
quite,151
works,151
august,151
employee,151
looks,151
hear,151
confirm,150
develop,150
direct,150
listed,150
=,150
volatility,149
weekend,149
summary,149
~,149
responsible,148
senior,147
state,147
yes,147
tom,147
international,146
arrange,146
potential,146
europe,146
required,146
planning,146
hotel,146
begin,146
click,146
46,145
every,145
v,145
inc,144
steven,144
spoke,144
59,144
ago,144
h,144
employees,144
left,143
recently,143
view,143
net,143
37,143
firm,143
thought,143
pay,142
cover,142
eb,142
main,142
tamarchenko,142
paul,142
couple,142
alex,141
trade,141
seeing,140
invitation,140
jones,140
skills,140
k,140
floor,140
agenda,140
past,139
building,139
head,139
58,139
ca,139
mind,139
organization,139
49,139
computer,139
create,138
curve,138
