word_1,word_2,n_o_occurences
absolv,absolv,18
absolv,acceiv,1
absolv,access,1
absolv,account,2
absolv,advert,4
absolv,airport,1
absolv,allow,1
absolv,alon,1
absolv,although,2
absolv,anywh,2
absolv,apply,3
absolv,ass,3
absolv,assum,1
absolv,attempt,1
absolv,avail,2
absolv,back,6
absolv,becom,1
absolv,believ,1
absolv,best,8
absolv,bet,1
absolv,busy,2
absolv,cam,1
absolv,capit,1
absolv,cent,2
absolv,challeng,1
absolv,claim,2
absolv,click,9
absolv,clos,1
absolv,commit,2
absolv,company,2
absolv,compet,2
absolv,confid,9
absolv,control,2
absolv,coop,1
absolv,cost,3
absolv,count,1
absolv,credit,1
absolv,custom,1
absolv,day,4
absolv,deal,2
absolv,delivery,1
absolv,desir,1
absolv,detail,1
absolv,direct,1
absolv,doesn,1
absolv,don,2
absolv,doubt,1
absolv,drop,1
absolv,due,1
absolv,earn,4
absolv,effect,3
absolv,effort,1
absolv,elig,2
absolv,email,2
absolv,encod,1
absolv,everyth,1
absolv,excit,1
absolv,extr,2
absolv,extrem,1
absolv,fact,2
absolv,famy,1
absolv,fed,2
absolv,fin,3
absolv,find,4
absolv,forward,1
absolv,fre,15
absolv,friend,1
absolv,ful,3
absolv,fund,1
absolv,fut,1
absolv,get,9
absolv,giv,2
absolv,going,2
absolv,govern,2
absolv,guar,8
absolv,guarantee,1
absolv,guid,1
absolv,handl,2
absolv,heard,1
absolv,held,2
absolv,high,1
absolv,http,9
absolv,ide,1
absolv,incom,1
absolv,increas,1
absolv,inform,3
absolv,innov,1
absolv,inst,1
absolv,int,1
absolv,internet,5
absolv,invest,1
absolv,jun,1
absolv,kept,1
absolv,know,3
absolv,larg,1
absolv,law,4
absolv,leg,3
absolv,lend,1
absolv,lif,2
absolv,lik,5
absolv,limit,1
absolv,lin,1
absolv,list,2
absolv,liv,2
absolv,loan,1
absolv,look,4
absolv,los,4
absolv,lot,1
absolv,low,2
absolv,mail,1
absolv,maintain,1
absolv,mak,3
absolv,market,1
absolv,mat,2
absolv,memb,5
absolv,minut,2
absolv,mom,1
absolv,money,10
absolv,mortg,2
absolv,nat,3
absolv,necess,1
absolv,nev,3
absolv,new,1
absolv,noth,7
absolv,oblig,1
absolv,opt,2
absolv,ord,2
absolv,org,1
absolv,part,3
absolv,particip,4
absolv,partn,1
absolv,party,1
absolv,pay,3
absolv,peopl,4
absolv,per,1
absolv,perfect,2
absolv,person,2
absolv,plac,1
absolv,pleas,3
absolv,plu,1
absolv,poor,1
absolv,posit,2
absolv,pow,1
absolv,pri,1
